user_name,weight_of_waste_grams,number_of_ewaste_devices,ewaste_scrap_image_ref,material_category,price_valuation_inr,price_trend,nearby_recycler_id,reference_id,mode_of_transaction,transaction_id,anonymous_contact_number,estimated_carbon_emission_grams,recycler_name,recycler_location,authorization_status
Sunita Singh,61316.9,0,placeholder://scrap-images/pet-bottles/edc0a15a.webp,PET Bottles,970.33,Stable,RCY-1056,REF-100000,Cash,CASH-AB50EB366C,+91 11 3925 5349,61076.1,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Aarti Iyer,31439.0,0,placeholder://scrap-images/pet-bottles/791dc848.webp,PET Bottles,493.2,Stable,RCY-1007,REF-100001,UPI,TXN308634857005,+91 11 5173 1727,37932.2,National Recyclers,"Jamshedpur, Jharkhand",Authorized
Divya Tiwari,7870.8,4,placeholder://scrap-images/e-waste-pcb/17fda08b.webp,E-Waste PCB,1154.97,Rising,RCY-1021,REF-100002,UPI,TXN890809244118,+91 11 5920 9308,32517.3,Bharat Recycling Hub,"Kanpur, Uttar Pradesh",Pending Verification
Anita Kapoor,29693.4,0,placeholder://scrap-images/pet-bottles/1c3fbab9.webp,PET Bottles,459.45,Stable,RCY-1042,REF-100003,Cash,CASH-D971095E0A,+91 11 3851 5930,30649.7,Shakti Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Jyoti Yadav,4662.5,4,placeholder://scrap-images/e-waste-pcb/75526317.webp,E-Waste PCB,691.53,Stable,RCY-1029,REF-100004,UPI,TXN334830030878,+91 11 9375 8752,19227.1,Shakti Recyclers,"Guindy, Chennai",Pending Verification
Rekha Bose,4364.2,6,placeholder://scrap-images/lead-acid-battery/ccf4abed.webp,Lead-Acid Battery,387.63,Falling,RCY-1019,REF-100005,UPI,TXN259769046504,+91 11 1400 1757,4959.3,Green India Metals,"Narela, New Delhi",Authorized
Kavita Rana,6912.9,4,placeholder://scrap-images/lead-acid-battery/7f0db828.webp,Lead-Acid Battery,679.67,Rising,RCY-1009,REF-100006,UPI,TXN955156280853,+91 11 7965 4585,8129.0,Metro Waste Management,"Jamshedpur, Jharkhand",Authorized
Kavya Thakur,4132.1,6,placeholder://scrap-images/e-waste-pcb/f31c84fa.webp,E-Waste PCB,623.92,Falling,RCY-1051,REF-100007,UPI,TXN755235594840,+91 11 6198 8251,17377.3,Sunrise Recycling Hub,"Narela, New Delhi",Authorized
Nisha Agarwal,5182.8,8,placeholder://scrap-images/lead-acid-battery/42a2ac01.webp,Lead-Acid Battery,484.37,Falling,RCY-1030,REF-100008,UPI,TXN373811796366,+91 11 5543 9540,6505.0,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Pooja Chauhan,25076.5,0,placeholder://scrap-images/copper/d6179560.webp,Copper,15899.26,Rising,RCY-1020,REF-100009,Cash,CASH-3BA4220514,+91 11 2320 3267,59829.0,Greenline Metals,"Ludhiana, Punjab",Pending Verification
Rina Chopra,62608.5,0,placeholder://scrap-images/pet-bottles/7c5d953a.webp,PET Bottles,970.14,Rising,RCY-1034,REF-100010,UPI,TXN323605728604,+91 11 7883 7381,67596.6,EcoWave Eco Solutions,"Sanathnagar, Hyderabad",Authorized
Jyoti Saxena,12872.5,7,placeholder://scrap-images/e-waste-pcb/c06c43e1.webp,E-Waste PCB,1923.76,Falling,RCY-1024,REF-100011,Cash,CASH-C6419E02AC,+91 11 7865 9818,49416.1,Clean Earth Recyclers,"Ankleshwar, Gujarat",Authorized
Rahul Bhatt,44196.5,0,placeholder://scrap-images/copper/2d769ab3.webp,Copper,28961.76,Rising,RCY-1042,REF-100012,UPI,TXN896305476639,+91 11 3704 8657,108035.2,Shakti Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Ashok Patel,13617.9,1,placeholder://scrap-images/e-waste-pcb/f5e1396b.webp,E-Waste PCB,1906.71,Rising,RCY-1011,REF-100013,UPI,TXN458110524275,+91 11 4467 8449,58468.2,Sunrise Enterprises,"Narela, New Delhi",Authorized
Payal Gupta,25404.0,0,placeholder://scrap-images/pet-bottles/34a51ad2.webp,PET Bottles,408.57,Stable,RCY-1030,REF-100014,UPI,TXN158151362046,+91 11 6733 4673,29816.2,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Manish Rawat,11350.4,4,placeholder://scrap-images/e-waste-pcb/ab4fe776.webp,E-Waste PCB,1620.66,Rising,RCY-1008,REF-100015,UPI,TXN718966589553,+91 11 4571 8619,42245.1,EcoWave Industries,"Dharavi, Mumbai",Pending Verification
Yogesh Tiwari,15517.1,0,placeholder://scrap-images/newspaper/833a2bfc.webp,Newspaper,284.1,Falling,RCY-1052,REF-100016,UPI,TXN217300018982,+91 11 1420 6111,12888.8,Sunrise Scrap Traders,"Ankleshwar, Gujarat",Authorized
Yogesh Rana,36000.6,0,placeholder://scrap-images/pet-bottles/e2e9c9ba.webp,PET Bottles,558.59,Rising,RCY-1040,REF-100017,UPI,TXN949102978448,+91 11 5941 2983,41110.4,EcoCircle Enterprises,"Okhla Phase 2, New Delhi",Authorized
Swati Reddy,5306.0,7,placeholder://scrap-images/e-waste-pcb/e57c276e.webp,E-Waste PCB,816.47,Rising,RCY-1000,REF-100018,Cash,CASH-54493AED18,+91 11 9031 2729,21850.3,Clean Earth Metals,"Bhiwandi, Maharashtra",Authorized
Swati Thakur,63804.1,0,placeholder://scrap-images/hard-plastics/c79c1ffb.webp,Hard Plastics,1262.91,Falling,RCY-1017,REF-100019,UPI,TXN692360247318,+91 11 8921 8616,90667.1,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Amit Bose,29346.3,0,placeholder://scrap-images/iron-steel/fd9f16e2.webp,Iron / Steel,900.84,Falling,RCY-1028,REF-100020,UPI,TXN724766165589,+91 11 7209 6511,50487.8,Bharat Scrap Traders,"Sanathnagar, Hyderabad",Pending Verification
Manoj Gupta,1620.8,4,placeholder://scrap-images/e-waste-pcb/6792de22.webp,E-Waste PCB,243.51,Falling,RCY-1056,REF-100021,UPI,TXN404427742989,+91 11 1166 9464,6507.6,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Rohit Chauhan,64946.7,0,placeholder://scrap-images/copper/0f1eb499.webp,Copper,44083.04,Stable,RCY-1041,REF-100022,UPI,TXN969508288813,+91 11 1282 2524,168556.5,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Manish Das,62415.0,0,placeholder://scrap-images/pet-bottles/57822ca6.webp,PET Bottles,907.2,Stable,RCY-1033,REF-100023,UPI,TXN920324285791,+91 11 6419 6764,68289.3,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Neha Saxena,27942.8,0,placeholder://scrap-images/iron-steel/668de5b3.webp,Iron / Steel,855.62,Falling,RCY-1047,REF-100024,UPI,TXN859187823548,+91 11 4033 4138,48441.6,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Shalini Yadav,9612.8,6,placeholder://scrap-images/small-battery/2f8c42bc.webp,Small Battery,481.36,Falling,RCY-1006,REF-100025,Cash,CASH-C7C275FBCC,+91 11 5853 4727,13327.3,National Metals,"Mayapuri Industrial Area, Delhi",Authorized
Raju Chopra,1766.3,0,placeholder://scrap-images/iron-steel/2244b9d5.webp,Iron / Steel,56.83,Stable,RCY-1035,REF-100026,UPI,TXN241493787493,+91 11 9042 2680,3480.9,Shakti Enterprises,"Guindy, Chennai",Authorized
Vikram Chopra,42511.0,0,placeholder://scrap-images/iron-steel/d2edb0be.webp,Iron / Steel,1347.39,Rising,RCY-1055,REF-100027,UPI,TXN172250436572,+91 11 7565 9056,69654.1,New Delhi Eco Solutions,"Peenya, Bengaluru",Authorized
Ramesh Das,2403.1,5,placeholder://scrap-images/e-waste-pcb/f44a7e56.webp,E-Waste PCB,336.54,Rising,RCY-1026,REF-100028,UPI,TXN782001038753,+91 11 4697 9561,9724.0,EcoCircle Recycling Hub,"Dharavi, Mumbai",Authorized
Arjun Tiwari,27113.1,0,placeholder://scrap-images/hard-plastics/c9b111fb.webp,Hard Plastics,549.94,Stable,RCY-1003,REF-100029,UPI,TXN210552841781,+91 11 4404 4457,35730.8,Green India Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Aarti Joshi,2482.3,3,placeholder://scrap-images/lead-acid-battery/8b1164b1.webp,Lead-Acid Battery,237.78,Rising,RCY-1044,REF-100030,UPI,TXN135610687504,+91 11 4792 5720,2924.3,Shakti Metals,"Kanpur, Uttar Pradesh",Pending Verification
Mohit Chauhan,6870.6,0,placeholder://scrap-images/hard-plastics/965e2543.webp,Hard Plastics,131.55,Stable,RCY-1037,REF-100031,UPI,TXN318758440317,+91 11 7965 2880,9452.1,Green India Industries,"Mayapuri Industrial Area, Delhi",Authorized
Meena Das,13639.9,3,placeholder://scrap-images/small-battery/0ebd03a7.webp,Small Battery,635.23,Rising,RCY-1047,REF-100032,Cash,CASH-4F0883A4CA,+91 11 5728 8195,19672.6,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Amit Gupta,63126.2,0,placeholder://scrap-images/iron-steel/77a0b5f5.webp,Iron / Steel,2163.11,Stable,RCY-1005,REF-100033,UPI,TXN576266444796,+91 11 6280 5102,113486.2,Shakti Industries,"Narela, New Delhi",Authorized
Sandeep Malhotra,86591.0,0,placeholder://scrap-images/copper/56b341c3.webp,Copper,62046.98,Stable,RCY-1048,REF-100034,UPI,TXN732517733550,+91 11 1659 3870,235994.5,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Naveen Patel,82488.5,0,placeholder://scrap-images/hard-plastics/80fa00d4.webp,Hard Plastics,1565.69,Stable,RCY-1031,REF-100035,Cash,CASH-9B33034BA5,+91 11 8700 6700,110125.8,Clean Earth Waste Management,"Sanathnagar, Hyderabad",Authorized
Anjali Patel,60476.9,0,placeholder://scrap-images/newspaper/763d420e.webp,Newspaper,1150.89,Stable,RCY-1018,REF-100036,UPI,TXN995073126883,+91 11 1601 8451,56537.5,Greenline Waste Management,"Ankleshwar, Gujarat",Authorized
Manoj Malhotra,12893.3,3,placeholder://scrap-images/lead-acid-battery/0183beba.webp,Lead-Acid Battery,1320.28,Stable,RCY-1000,REF-100037,UPI,TXN609136562669,+91 11 7770 1888,15596.4,Clean Earth Metals,"Bhiwandi, Maharashtra",Authorized
Meena Sharma,56225.7,0,placeholder://scrap-images/newspaper/3de36893.webp,Newspaper,1011.82,Stable,RCY-1017,REF-100038,UPI,TXN417516936790,+91 11 8178 8941,46065.2,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Meena Agarwal,64025.6,0,placeholder://scrap-images/copper/fe487a34.webp,Copper,42219.1,Rising,RCY-1014,REF-100039,Cash,CASH-879713B1F0,+91 11 2858 8560,157118.5,Sunrise Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Dinesh Malhotra,7550.9,5,placeholder://scrap-images/small-battery/4116f787.webp,Small Battery,378.08,Rising,RCY-1030,REF-100040,UPI,TXN261281455424,+91 11 7284 4122,12084.6,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Seema Chopra,12980.8,5,placeholder://scrap-images/small-battery/e801c8bf.webp,Small Battery,677.36,Falling,RCY-1050,REF-100041,UPI,TXN103524233168,+91 11 5634 5891,18847.6,Bharat Enterprises,"Mayapuri Industrial Area, Delhi",Authorized
Rina Iyer,12542.6,1,placeholder://scrap-images/e-waste-pcb/6caeb623.webp,E-Waste PCB,2025.06,Stable,RCY-1048,REF-100042,UPI,TXN364988738014,+91 11 7274 4826,49799.2,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Sunita Kumar,4874.9,8,placeholder://scrap-images/e-waste-pcb/72ff947a.webp,E-Waste PCB,755.25,Stable,RCY-1042,REF-100043,Cash,CASH-8ED68760AF,+91 11 3492 9115,19055.3,Shakti Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Sandeep Rana,78338.2,0,placeholder://scrap-images/newspaper/d406ea44.webp,Newspaper,1494.51,Stable,RCY-1029,REF-100044,UPI,TXN547295741582,+91 11 3529 2225,70870.3,Shakti Recyclers,"Guindy, Chennai",Pending Verification
Mohit Verma,30801.2,0,placeholder://scrap-images/iron-steel/ed833c0e.webp,Iron / Steel,1016.03,Stable,RCY-1054,REF-100045,UPI,TXN518903718101,+91 11 6188 8994,59342.7,National Scrap Traders,"Okhla Phase 2, New Delhi",Authorized
Deepak Pandey,3636.3,5,placeholder://scrap-images/lead-acid-battery/f00551c6.webp,Lead-Acid Battery,372.94,Stable,RCY-1006,REF-100046,Cash,CASH-1A28297681,+91 11 2646 8269,4305.9,National Metals,"Mayapuri Industrial Area, Delhi",Authorized
Deepak Yadav,81356.5,0,placeholder://scrap-images/iron-steel/39b2aca4.webp,Iron / Steel,2414.29,Falling,RCY-1023,REF-100047,UPI,TXN680869404959,+91 11 7751 3950,140389.8,Green India Recyclers,"Ankleshwar, Gujarat",Pending Verification
Gaurav Sharma,9201.0,7,placeholder://scrap-images/lead-acid-battery/a6b73d0b.webp,Lead-Acid Battery,890.84,Rising,RCY-1009,REF-100048,UPI,TXN381912653765,+91 11 8529 5183,11952.8,Metro Waste Management,"Jamshedpur, Jharkhand",Authorized
Manish Rawat,81158.2,0,placeholder://scrap-images/hard-plastics/9663eb81.webp,Hard Plastics,1669.29,Rising,RCY-1022,REF-100049,Cash,CASH-7B5E5FBB35,+91 11 5901 7951,104276.1,Sunrise Waste Management,"Guindy, Chennai",Authorized
